date,AMAT,AMD,AMZN,COST,CSCO,GOOGL,ISRG,META,NFLX,QQQ,TSLA,TXN
2026-01-05,0.20845365290751003,5.238547529817916e-07,0.0,0.0,0.0,0.19154582323773706,0.0,0.0,0.0,0.6,0.0,0.0
2026-01-12,0.3138915088721945,0.0,0.0,0.0,0.0,4.223326454218355e-06,0.0,0.0,0.0,0.6,0.0,0.08610426780135128
2026-01-20,0.2092741635896116,1.3403474105251767e-06,0.0,0.0,0.0,0.19072449606297792,0.0,0.0,0.0,0.6,0.0,0.0
2026-01-26,0.3426002354296425,1.7738367330186991e-06,0.0,0.0,0.0,0.057397990733624484,0.0,0.0,0.0,0.6,0.0,0.0
2026-02-02,0.3235965644838692,0.0,0.0,0.0,0.0,5.475232671048046e-07,0.0,0.0,0.0,0.6,0.0,0.07640288799286374
2026-02-09,0.3636159440022638,0.0,0.0,0.0,0.0,1.6050987211082796e-06,0.0,0.0,0.0,0.6,0.0,0.03638245089901509
2026-02-17,0.3692426375884592,0.0,0.0,2.2603234960695498e-07,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.030757136379191252
2026-02-23,0.2718403634122627,0.0,0.0,0.0,0.0,4.388974821927355e-07,0.0,0.0,0.0,0.6,0.0,0.1281591976902552
2026-03-02,0.26292134775023235,0.0,0.0,1.7799594409320577e-07,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.13707847425382355
2026-03-09,0.32278960771567833,0.0,0.0,0.0,0.0,0.07721023772861246,0.0,1.5455570924059942e-07,0.0,0.6,0.0,0.0
2026-03-16,0.0,0.0,0.0,0.0,0.046109891802371246,0.3538896772741429,0.0,4.3092348591127196e-07,0.0,0.6,0.0,0.0
2026-03-23,0.37183388332703604,0.0,0.0,0.0,0.0,2.3760438092987318e-07,0.0,0.028165879068583068,0.0,0.6,0.0,0.0
2026-03-30,0.3999995978126642,0.0,0.0,0.0,4.02187335816867e-07,0.0,0.0,0.0,0.0,0.6,0.0,0.0
2026-04-06,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0
2026-04-13,0.3867027514217487,0.0,0.0,0.0,0.0,0.013297016330376174,0.0,0.0,2.3224787518288344e-07,0.6,0.0,0.0
2026-04-20,0.0,0.0,0.0,0.0,0.14851001681598033,0.251488017848818,0.0,0.0,1.9653352016976428e-06,0.6,0.0,0.0
2026-04-27,0.0,0.08358193226625793,0.0,0.0,0.0,1.8140352071784346e-07,0.0,0.0,0.0,0.6,0.0,0.3164178863302214
