date,AMAT,AMD,AMZN,COST,CSCO,GOOGL,ISRG,META,NFLX,QQQ,TSLA,TXN
2026-01-05,0.20845365290751003,5.238547529817916e-07,0.0,0.0,0.0,0.19154582323773706,0.0,0.0,0.0,0.6,0.0,0.0
2026-01-06,0.2143426528032782,5.016317752794484e-07,0.0,0.0,0.0,0.18786410149481098,0.0,0.0,0.0,0.5977927440701355,0.0,0.0
2026-01-07,0.21108088687120924,4.90330265496064e-07,0.0,0.0,0.0,0.1919727432626552,0.0,0.0,0.0,0.59694587953587,0.0,0.0
2026-01-08,0.20529222996773655,4.821841226290501e-07,0.0,0.0,0.0,0.1957902495453413,0.0,0.0,0.0,0.5989170383027996,0.0,0.0
2026-01-09,0.21479023916287426,4.682818583978897e-07,0.0,0.0,0.0,0.19340081169922388,0.0,0.0,0.0,0.5918084808560434,0.0,0.0
2026-01-12,0.3138915088721945,0.0,0.0,0.0,0.0,4.223326454218355e-06,0.0,0.0,0.0,0.6,0.0,0.08610426780135128
2026-01-13,0.3125820124298796,0.0,0.0,0.0,0.0,4.290894129896673e-06,0.0,0.0,0.0,0.601248881040896,0.0,0.08616481563509441
2026-01-14,0.31178076153668066,0.0,0.0,0.0,0.0,4.320469711016939e-06,0.0,0.0,0.0,0.5991576175339522,0.0,0.08905730045965606
2026-01-15,0.3237337769018547,0.0,0.0,0.0,0.0,4.205751827533044e-06,0.0,0.0,0.0,0.5907305092877734,0.0,0.0855315080585444
2026-01-16,0.3289295697801053,0.0,0.0,0.0,0.0,4.134792851864923e-06,0.0,0.0,0.0,0.5851664749385724,0.0,0.08589982048847057
2026-01-20,0.2092741635896116,1.3403474105251767e-06,0.0,0.0,0.0,0.19072449606297792,0.0,0.0,0.0,0.6,0.0,0.0
2026-01-21,0.21041225922733098,1.4202481562809189e-06,0.0,0.0,0.0,0.19134623695897246,0.0,0.0,0.0,0.5982400835655401,0.0,0.0
2026-01-22,0.20594399943273284,1.4405255278404458e-06,0.0,0.0,0.0,0.19232892232771334,0.0,0.0,0.0,0.6017256377140261,0.0,0.0
2026-01-23,0.2077023193676916,1.4703354310230084e-06,0.0,0.0,0.0,0.19029636064347075,0.0,0.0,0.0,0.6019998496534067,0.0,0.0
2026-01-26,0.3426002354296425,1.7738367330186991e-06,0.0,0.0,0.0,0.057397990733624484,0.0,0.0,0.0,0.6,0.0,0.0
2026-01-27,0.3498579297318832,1.7442583894831335e-06,0.0,0.0,0.0,0.056497495988128366,0.0,0.0,0.0,0.5936428300215989,0.0,0.0
2026-01-28,0.35183309281545605,1.737944008722001e-06,0.0,0.0,0.0,0.05637981281849349,0.0,0.0,0.0,0.5917853564220417,0.0,0.0
2026-01-29,0.35604852441038376,1.7312721125709782e-06,0.0,0.0,0.0,0.05666333354857279,0.0,0.0,0.0,0.5872864107689308,0.0,0.0
2026-01-30,0.3455155363706546,1.67019167384534e-06,0.0,0.0,0.0,0.05818879229614122,0.0,0.0,0.0,0.5962940011415304,0.0,0.0
2026-02-02,0.3235965644838692,0.0,0.0,0.0,0.0,5.475232671048046e-07,0.0,0.0,0.0,0.6,0.0,0.07640288799286374
2026-02-03,0.32000520865989296,0.0,0.0,0.0,0.0,5.515172039945916e-07,0.0,0.0,0.0,0.6020631499408855,0.0,0.07793108988201752
2026-02-04,0.3088755378999124,0.0,0.0,0.0,0.0,5.588328058992532e-07,0.0,0.0,0.0,0.6113966436599284,0.0,0.07972725960735319
2026-02-05,0.31607341212687756,0.0,0.0,0.0,0.0,5.568259555815661e-07,0.0,0.0,0.0,0.6036760101993917,0.0,0.08025002084777513
2026-02-06,0.32521332714177564,0.0,0.0,0.0,0.0,5.263495895477389e-07,0.0,0.0,0.0,0.5978397224957573,0.0,0.0769464240128775
