date,ticker,ml_datadate,ml_available_from,ml_bucket,ml_model,ml_score,ml_ensemble_score,z_ml_score,mom_20d,mom_60d,vol_20d,drawdown_60d,z_mom_20d,z_mom_60d,z_vol_20d,z_drawdown_60d,technical_score,z_technical_score,finrl_score,rank,selected
2026-01-02,TSLA,2025-09-30,2025-12-01,cyclical,RF,0.24304363650000047,0.18968963578861464,3.7035993048749867,-0.019407223664055007,0.011498790155482608,0.02394390130659677,-0.16499775729647537,0.08486858196871128,-0.21535248850042307,1.3015573863333108,-0.48660113397436006,-0.2853196595350962,-0.4206114659751721,2.053914996534923,1,1
2026-01-02,GOOGL,2025-09-30,2025-12-01,growth_tech,Stacking,0.07018480401194714,0.08557875077180907,0.29933088145282377,-0.013371286973942298,0.2831875056110702,0.013821221624993902,-0.08201186250738446,0.23819912252114755,1.9398985938870978,-0.2926091471353987,0.8449337240279887,0.902628901342052,1.3306340896510822,0.7118521647321272,2,1
2026-01-02,AMAT,2025-09-30,2025-12-01,growth_tech,Stacking,0.0506727669886239,0.06292579162401028,-0.08493766044962264,0.0008934763486971864,0.2733836525406039,0.020364794369352127,-0.09769209686654501,0.6005660563386785,1.8621266300929495,0.7379030301226006,0.5933394177433855,0.8406192303239522,1.2392209053158023,0.4447257658565474,3,1
2026-01-02,AMD,2025-09-30,2025-12-01,growth_tech,Stacking,0.07505881327442997,0.1126243668211562,0.39531924137006536,0.026976079745122172,0.05654582300828648,0.024801756331319882,-0.2505201427224757,1.2631408782946019,0.14199642145171842,1.4366563733601347,-1.8588347843272066,0.15357316438920132,0.2263939117039444,0.32774910950361696,4,1
2026-01-02,CSCO,2025-09-30,2025-12-01,growth_tech,Stacking,0.056077392911248275,0.049238557146736694,0.02150062276665803,-0.016760109006419888,0.10808668539895416,0.010142424191480716,-0.05295952251335878,0.15211307809212754,0.5508595546458955,-0.8719632249470038,1.3110876831664309,0.5155493274216081,0.7600105746048077,0.3169046035019179,5,1
2026-01-02,NVDA,2025-09-30,2025-12-01,growth_tech,Stacking,0.051270972097956787,0.05857949009308425,-0.07315665548088611,0.0516204609698685,0.02064698629741568,0.019256972293247313,-0.17431645591639267,1.889180628009092,-0.14278171719057217,0.563438072787857,-0.6361225927135072,0.5575706799974073,0.821957454598867,0.2848889885510152,6,0
2026-01-02,META,2025-09-30,2025-12-01,growth_tech,Stacking,0.07737858885091906,0.08506973872429933,0.4410047214279822,0.017730563906910524,-0.08714250733650242,0.013849357412960804,-0.2162118482955151,1.0282775896386316,-0.9978537522397444,-0.2881781927853244,-1.3083473784348132,-0.02554578635414051,-0.037658991551480926,0.24953923623619695,7,0
2026-01-02,QCOM,2025-09-30,2025-12-01,growth_tech,Stacking,0.056284380731914975,0.04745805971541282,0.025577024832935526,-0.006889556815016906,0.05079080569612571,0.012524874126750407,-0.14966970280366299,0.4028541280335564,0.09634304468045903,-0.4967639621100866,-0.24065766473285927,0.2453105446948103,0.36163097906178543,0.1599986065244755,8,0
2026-01-02,AAPL,2025-09-30,2025-12-01,growth_tech,Stacking,0.055621831251935316,0.052880933788374586,0.01252882682543476,-0.046243180332482536,0.057675831084281315,0.006047353813083651,-0.05318148250414867,-0.5968436283253492,0.15096054469404951,-1.5168738963084767,1.3075262651017132,0.17238245026922047,0.25412211424292086,0.10916614179242921,9,0
2026-01-02,ADBE,2025-09-30,2025-12-01,growth_tech,Stacking,0.053681900817040655,0.008870093764311575,-0.02567601251133411,0.019952227914889598,-0.04309382409587592,0.01990847442622099,-0.1320052493184608,1.084714388226551,-0.6484245458300866,0.6660396495973746,0.0427740633082266,0.11130862314130664,0.16408852874501642,0.05022980399120611,10,0
