date,ticker,ml_datadate,ml_available_from,ml_bucket,ml_model,ml_score,ml_ensemble_score,z_ml_score,mom_20d,mom_60d,vol_20d,drawdown_60d,z_mom_20d,z_mom_60d,z_vol_20d,z_drawdown_60d,technical_score,z_technical_score,finrl_score,rank,selected
2026-04-24,META,2025-12-31,2026-03-01,growth_tech,Stacking,0.08527943375587171,0.08902620868260969,1.8206407516847434,0.2328415392221177,0.010285190624474971,0.026788084027766557,-0.2873317605654021,0.4098445333285652,-0.25619965182373416,0.24485464435283824,-1.9264096705478582,-0.15510122851459243,-0.2252131499929952,1.0022991910136478,1,1
2026-04-24,GOOGL,2025-12-31,2026-03-01,growth_tech,Stacking,0.07857430410743968,0.07563720140503888,1.4830108264219939,0.2259717265928438,0.025690946101891488,0.019631784730276155,-0.20366458055508962,0.372397176943393,-0.15830529074615385,-0.5924212848441827,-0.5133386397794399,0.13108134776488678,0.19033532821230956,0.9659406271381201,2,1
2026-04-24,ISRG,2025-12-31,2026-03-01,defensive,RF,0.08225744757245707,0.05061397200820043,1.6684717374002926,0.02917514413376643,-0.07627763865348047,0.02404518289103635,-0.11216627730272555,-0.7003412158514506,-0.8062546541671941,-0.07606053854856953,1.031993731581029,-0.44771716135870987,-0.6501031176940713,0.741041795362547,3,1
2026-04-24,AMD,2025-12-31,2026-03-01,growth_tech,Stacking,0.042997717610379016,0.028237987995518382,-0.30841169184582534,0.7068753509644967,0.37615727624885675,0.0369637436310726,-0.24280275004314167,2.993803375422154,2.0686986052481067,1.4353910508637318,-1.1743506817062035,1.5888221362055188,2.3070329068333533,0.7377661476258461,4,1
2026-04-24,TXN,2025-12-31,2026-03-01,growth_tech,Stacking,0.050337670892801466,0.08196995802225725,0.0611841262985528,0.4329146063353009,0.29041492825101245,0.045649699096316734,-0.1771716552915752,1.5004430476658814,1.5238572706673434,2.4516343815020396,-0.0658945499275918,0.7591926515818577,1.1023779124882829,0.47766164077444484,5,1
