date,AMAT,AMD,AMZN,COST,CSCO,GOOGL,ISRG,META,NFLX,QQQ,TSLA,TXN
2026-01-05,0.18819942960397218,4.583273783839774e-07,0.0,0.0,0.0,0.21180011206864946,0.0,0.0,0.0,0.6,0.0,0.0
2026-01-12,0.33780453590257564,0.0,0.0,0.0,0.0,5.5665391552707835e-06,0.0,0.0,0.0,0.6,0.0,0.062189897558269105
2026-01-20,0.19105477671546042,1.173711724858061e-06,0.0,0.0,0.0,0.20894404957281476,0.0,0.0,0.0,0.6,0.0,0.0
2026-01-26,0.33304230118248257,1.6715636383457805e-06,0.0,0.0,0.0,0.06695602725387909,0.0,0.0,0.0,0.6,0.0,0.0
2026-02-02,0.34275463561236597,0.0,0.0,0.0,0.0,7.179029380846662e-07,0.0,0.0,0.0,0.6,0.0,0.05724464648469596
2026-02-09,0.36326810846852997,0.0,0.0,0.0,0.0,1.6373225083449214e-06,0.0,0.0,0.0,0.6,0.0,0.03673025420896173
2026-02-17,0.3692426948377308,0.0,0.0,1.516980231016106e-07,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.030757153464246102
2026-02-23,0.27364807837259447,0.0,0.0,0.0,0.0,4.3270657746843287e-07,0.0,0.0,0.0,0.6,0.0,0.1263514889208281
2026-03-02,0.2647731230496229,0.0,0.0,1.2035317714541997e-07,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.13522675659719993
2026-03-09,0.32410666139028577,0.0,0.0,0.0,0.0,0.07589317688918962,0.0,1.617205246467941e-07,0.0,0.6,0.0,0.0
2026-03-16,0.0,0.0,0.0,0.0,0.04441960537882593,0.35557995717574353,0.0,4.37445430543908e-07,0.0,0.6,0.0,0.0
2026-03-23,0.3707230551587119,0.0,0.0,0.0,0.0,2.4193486383692404e-07,0.0,0.0292767029064243,0.0,0.6,0.0,0.0
2026-03-30,0.3999995849769115,0.0,0.0,0.0,4.1502308853572727e-07,0.0,0.0,0.0,0.0,0.6,0.0,0.0
2026-04-06,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0
2026-04-13,0.3865674760696298,0.0,0.0,0.0,0.0,0.013432284432161525,0.0,0.0,2.3949820865022797e-07,0.6,0.0,0.0
2026-04-20,0.0,0.0,0.0,0.0,0.14558869440476385,0.25440935842335727,0.0,0.0,1.9471718789604473e-06,0.6,0.0,0.0
2026-04-27,0.0,0.0835819306532732,0.0,0.0,0.0,1.8912281582205544e-07,0.0,0.0,0.0,0.6,0.0,0.31641788022391104
