date,AMAT,AMD,AMZN,COST,CSCO,GOOGL,ISRG,META,NFLX,QQQ,TSLA,TXN
2026-01-05,0.18819942960397218,4.583273783839774e-07,0.0,0.0,0.0,0.21180011206864946,0.0,0.0,0.0,0.6,0.0,0.0
2026-01-06,0.19370247601657464,4.3930660061639915e-07,0.0,0.0,0.0,0.20792900570696107,0.0,0.0,0.0,0.5983680789698637,0.0,0.0
2026-01-07,0.19061144296567425,4.2908652771332635e-07,0.0,0.0,0.0,0.21231678835840048,0.0,0.0,0.0,0.5970713395893974,0.0,0.0
2026-01-08,0.1852051698417115,4.215505093583296e-07,0.0,0.0,0.0,0.21632980536559865,0.0,0.0,0.0,0.5984646032421805,0.0,0.0
2026-01-09,0.19400171699534816,4.0987788315031215e-07,0.0,0.0,0.0,0.2139410046606711,0.0,0.0,0.0,0.5920568684660977,0.0,0.0
2026-01-12,0.33780453590257564,0.0,0.0,0.0,0.0,5.5665391552707835e-06,0.0,0.0,0.0,0.6,0.0,0.062189897558269105
2026-01-13,0.3364344921130175,0.0,0.0,0.0,0.0,5.656255737852763e-06,0.0,0.0,0.0,0.6013189681122114,0.0,0.06224088351903313
2026-01-14,0.3358624470360838,0.0,0.0,0.0,0.0,5.700169966428904e-06,0.0,0.0,0.0,0.599745931384225,0.0,0.06438592140972471
2026-01-15,0.3480802491599549,0.0,0.0,0.0,0.0,5.538341302212781e-06,0.0,0.0,0.0,0.5901940940579261,0.0,0.061720118440816825
2026-01-16,0.3535631121822479,0.0,0.0,0.0,0.0,5.443302803863457e-06,0.0,0.0,0.0,0.5844637210470313,0.0,0.06196772346791705
2026-01-20,0.19105477671546042,1.173711724858061e-06,0.0,0.0,0.0,0.20894404957281476,0.0,0.0,0.0,0.6,0.0,0.0
2026-01-21,0.192101416038017,1.2437283639731595e-06,0.0,0.0,0.0,0.20963350638415643,0.0,0.0,0.0,0.5982638338494626,0.0,0.0
2026-01-22,0.18793124909691092,1.260876628220552e-06,0.0,0.0,0.0,0.21060840642156675,0.0,0.0,0.0,0.6014590836048942,0.0,0.0
2026-01-23,0.1896015887097204,1.2874157751462632e-06,0.0,0.0,0.0,0.2084550182021261,0.0,0.0,0.0,0.6019421056723783,0.0,0.0
2026-01-26,0.33304230118248257,1.6715636383457805e-06,0.0,0.0,0.0,0.06695602725387909,0.0,0.0,0.0,0.6,0.0,0.0
2026-01-27,0.34021742069575245,1.6442701622355226e-06,0.0,0.0,0.0,0.06592881530710543,0.0,0.0,0.0,0.5938521197269798,0.0,0.0
2026-01-28,0.3421637258241455,1.6384401829846753e-06,0.0,0.0,0.0,0.06579640361014794,0.0,0.0,0.0,0.5920382321255235,0.0,0.0
2026-01-29,0.34628769110992547,1.6322652224391998e-06,0.0,0.0,0.0,0.06613193517132161,0.0,0.0,0.0,0.5875787414535306,0.0,0.0
2026-01-30,0.33585935647241927,1.573815125601742e-06,0.0,0.0,0.0,0.0678750965809795,0.0,0.0,0.0,0.5962639731314756,0.0,0.0
2026-02-02,0.34275463561236597,0.0,0.0,0.0,0.0,7.179029380846662e-07,0.0,0.0,0.0,0.6,0.0,0.05724464648469596
2026-02-03,0.3391527329652641,0.0,0.0,0.0,0.0,7.23570836886787e-07,0.0,0.0,0.0,0.6024220855534423,0.0,0.05842445791045665
2026-02-04,0.3277208782429798,0.0,0.0,0.0,0.0,7.339833442712241e-07,0.0,0.0,0.0,0.6124409347123855,0.0,0.05983745306129045
2026-02-05,0.33525882557272946,0.0,0.0,0.0,0.0,7.311314100658825e-07,0.0,0.0,0.0,0.6045284400789895,0.0,0.060212003216870875
2026-02-06,0.3444810960075487,0.0,0.0,0.0,0.0,6.901683903394633e-07,0.0,0.0,0.0,0.5978639848174134,0.0,0.05765422900664754
2026-02-09,0.36326810846852997,0.0,0.0,0.0,0.0,1.6373225083449214e-06,0.0,0.0,0.0,0.6,0.0,0.03673025420896173
2026-02-10,0.36309793247703215,0.0,0.0,0.0,0.0,1.6149184127938383e-06,0.0,0.0,0.0,0.5996576129125099,0.0,0.03724283969204532
2026-02-11,0.36967035776984997,0.0,0.0,0.0,0.0,1.5537823885146296e-06,0.0,0.0,0.0,0.5926798575808095,0.0,0.03764823086695189
2026-02-12,0.3663853499891592,0.0,0.0,0.0,0.0,1.5838107819329596e-06,0.0,0.0,0.0,0.5956006622527483,0.0,0.03801240394731048
