date,portfolio_return
2026-01-05,0.0
2026-01-06,-0.0009990009990009652
2026-01-07,0.003136452791999922
2026-01-08,-0.00800384155792877
2026-01-09,0.02089086498604309
2026-01-12,0.006104828441183097
2026-01-13,-0.003676527059642498
2026-01-14,-0.008087996010643583
2026-01-15,0.019841939902952577
2026-01-16,0.008959984289440781
2026-01-20,-0.02299220560101567
2026-01-21,0.016458679314230062
2026-01-22,0.0019183179083008817
2026-01-23,0.00235242718956985
2026-01-26,0.004026134923081459
2026-01-27,0.01951041327815961
2026-01-28,0.006385425695776936
2026-01-29,0.0015589132013393847
2026-01-30,-0.026401995492137287
2026-02-02,0.011434249672433783
2026-02-03,-0.0193247204647935
2026-02-04,-0.03354208543286963
2026-02-05,-0.0014950312208417138
2026-02-06,0.032520629153978575
2026-02-09,0.012454111577460347
2026-02-10,-0.004071292992961051
2026-02-11,0.014486874065444022
2026-02-12,-0.025143132542950974
2026-02-13,0.031396306187938317
2026-02-17,0.003842668712576991
2026-02-18,0.014613776341343199
2026-02-19,-0.001985038353882418
2026-02-20,0.011130619424035038
2026-02-23,-0.009243400869706764
2026-02-24,0.005914829165390101
2026-02-25,0.021446807455002936
2026-02-26,-0.02164461705872034
2026-02-27,-0.0047248722876349625
2026-03-02,-0.0006347487627230697
2026-03-03,-0.025871260380992633
2026-03-04,0.013806213398464884
2026-03-05,-0.012806040918585948
2026-03-06,-0.028310837470947647
2026-03-09,0.020719535323614258
2026-03-10,0.006814753091465731
2026-03-11,0.005259279126588856
2026-03-12,-0.0244723503975649
2026-03-13,0.0002675050080565011
2026-03-16,0.011312484555646707
2026-03-17,0.009374517420719597
2026-03-18,-0.012981881039612175
2026-03-19,-0.0020257750869508984
2026-03-20,-0.01867811114895268
2026-03-23,0.007971575121039631
2026-03-24,0.007866472514842293
2026-03-25,-0.0007450806124583709
2026-03-26,-0.04782157967753442
2026-03-27,-0.014505840399477332
2026-03-30,-0.019414289559910647
2026-03-31,0.043425199300507034
2026-04-01,0.021592677744364908
2026-04-02,-0.005514385580812298
2026-04-06,0.007591783348153358
2026-04-07,0.0012845112955290894
2026-04-08,0.03281718206143336
2026-04-09,0.0014935972463783198
2026-04-10,-0.0036949322936986606
2026-04-13,0.006065911717439532
2026-04-14,0.01129921105375753
2026-04-15,0.007297723041916893
2026-04-16,-0.0012973530211644047
2026-04-17,0.014997362746643539
2026-04-20,-0.007910545606657382
2026-04-21,-0.002849140855604615
2026-04-22,0.01551080177136921
2026-04-23,-0.00568402034237625
2026-04-24,0.016298359571924825
2026-04-27,0.00267481402433023
2026-04-28,-0.014173475751136255
2026-04-29,0.012231141235859777
2026-04-30,0.0238896120191312
