Date,AMAT,AMD,AMZN,COST,CSCO,GOOGL,ISRG,META,NFLX,SPY,TSLA,TXN
2026-01-02,268.53509521484375,223.47000122070312,226.5,852.0977783203125,75.63018798828125,314.9283142089844,561.97998046875,649.8535766601562,90.98999786376953,681.309326171875,438.07000732421875,175.47718811035156
2026-01-05,283.9658508300781,221.0800018310547,233.05999755859375,873.278076171875,75.17266845703125,316.3173522949219,566.3800048828125,658.2264404296875,91.45999908447266,685.846923828125,451.6700134277344,175.13121032714844
2026-01-06,295.64129638671875,214.35000610351562,240.92999267578125,886.6004638671875,74.82455444335938,314.1188659667969,592.8499755859375,660.0548706054688,90.6500015258789,689.92578125,432.9599914550781,189.889404296875
2026-01-07,291.8360290527344,210.02000427246094,241.55999755859375,880.098876953125,74.31729888916016,321.7535095214844,592.27001953125,648.1350708007812,90.7300033569336,687.701904296875,431.4100036621094,183.5729522705078
2026-01-08,281.2891845703125,204.67999267578125,246.2899932861328,912.73681640625,73.56139373779297,325.2110595703125,585.0800170898438,645.50732421875,90.52999877929688,687.632080078125,435.79998779296875,186.28140258789062
2026-01-09,300.8048400878906,203.1699981689453,247.3800048828125,922.2799682617188,73.48182678222656,328.3388671875,586.239990234375,652.5013427734375,89.45999908447266,692.1796264648438,445.010009765625,188.12001037597656
2026-01-12,306.8572998046875,207.69000244140625,246.47000122070312,940.4287719726562,73.61112976074219,331.62652587890625,572.75,641.4207763671875,89.41000366210938,693.2666625976562,448.9599914550781,186.894287109375
2026-01-13,304.490234375,220.97000122070312,242.60000610351562,939.281982421875,75.06326293945312,335.7336730957031,561.8200073242188,630.5501708984375,90.31999969482422,691.8804931640625,447.20001220703125,186.3604736328125
2026-01-14,301.51397705078125,223.60000610351562,236.64999389648438,948.3065185546875,74.00897216796875,335.603759765625,546.760009765625,614.9934692382812,88.55000305175781,688.479736328125,439.20001220703125,191.223876953125
2026-01-15,318.6825256347656,227.9199981689453,238.17999267578125,954.060302734375,74.84444427490234,332.5458984375,541.3400268554688,620.2689208984375,88.05000305175781,690.3546142578125,438.57000732421875,186.94369506835938
