Date,FinRL-only,FinRL + no-lookahead FinRobot,SPY
2026-01-05,0.0,0.0,0.006660113816063129
2026-01-06,-0.008466198371792499,-0.0005468921322230047,0.005947183373089304
2026-01-07,-0.0038252279342827723,-0.002544088157609127,-0.0032233567922274053
2026-01-08,-0.010163058744747324,-0.01400999994324511,-0.00010153268198576093
2026-01-09,0.018334344836555293,0.017252781232460934,0.006613342394092614
2026-01-12,0.007546128898252015,0.008022945471284949,0.0015704538117717881
2026-01-13,0.009408778201747016,0.011661876631330722,-0.0019994751058702853
2026-01-14,-0.0040890194303200445,-0.0032112065154523356,-0.0049152373416185835
2026-01-15,0.008726613684583622,0.011329752082222033,0.0027232143965294497
2026-01-16,0.006767326997733129,0.007481065557288245,-0.0008378739908954103
2026-01-20,-0.02006997005797012,-0.01823249859679347,-0.020356785723545046
2026-01-21,0.0248378847249536,0.024483943685941444,0.011541079202094462
2026-01-22,0.0077468877507942124,0.0034129985509873577,0.005223230019727687
2026-01-23,0.006106362165854876,0.0073673542757756,0.0003627802397405677
2026-01-26,-0.0019072695571975412,0.0020145002785523546,0.005078147060609828
2026-01-27,0.009864723382239662,0.0138208041622988,0.003984264729684606
2026-01-28,0.013367575218964464,0.012159567574519897,-0.00010066990364987483
2026-01-29,-0.002961461101115878,0.0017205472802892892,-0.0019843824489698125
2026-01-30,-0.014630397829842837,-0.022057854198057246,-0.0029825802604032114
2026-02-02,0.01784821894758436,0.020499825966720717,0.004971362130935519
2026-02-03,-0.00611561144632929,-0.008498473811452597,-0.00845539643070059
2026-02-04,-0.042923848253679855,-0.046193353786263956,-0.004843921678897134
2026-02-05,-0.006183612530655075,-0.005515986119706724,-0.012489211256201727
2026-02-06,0.012813055228141359,0.009294980304460198,0.019184711840951385
2026-02-09,0.011621279553994909,0.012374380723212024,0.004821832103010459
2026-02-10,-0.0060947577079525864,-0.006863668967822059,-0.002637160432080843
2026-02-11,0.0025761360119743483,0.001707685685944213,-0.00023105881441631837
2026-02-12,-0.029996197311916436,-0.03085702549357778,-0.0154488742279012
2026-02-13,0.012966829775235483,0.011587143400244294,0.0007044854938154099
2026-02-17,-0.0038052715024148066,-0.0032402953966086676,0.0016134664707250224
2026-02-18,0.0038921668868426114,0.0045601466710739665,0.005037758541617032
2026-02-19,-0.0006636756840672099,-4.241182876221425e-05,-0.0026374339404172664
2026-02-20,0.010584975908100815,0.011222689663450584,0.007231864589122949
2026-02-23,-0.014555791114374465,-0.013814969583331265,-0.010211314710874664
2026-02-24,0.014308136293390991,0.013747443302930065,0.00726845293039502
2026-02-25,0.011227618288527955,0.010859851294264129,0.008438348943581309
2026-02-26,-0.01735982035575672,-0.016917761725560716,-0.005554476391621099
2026-02-27,0.0010177097515518731,0.0012855611820934726,-0.004801943258527341
2026-03-02,-0.004628899958412548,-0.005007059114648286,0.0005685787823312971
2026-03-03,-0.018020262043799463,-0.017567882749776623,-0.00881433848279567
2026-03-04,0.021040561713250975,0.0202518233365842,0.007055308353084655
2026-03-05,-0.012235145105410463,-0.013287096345434053,-0.005575546846393831
2026-03-06,-0.022548124747411205,-0.02444496151204948,-0.013107135070836495
2026-03-09,0.011425587656109308,0.012984158235535783,0.008760025013039074
2026-03-10,0.00268042837106404,0.003610885230217147,-0.0016071269053671289
