ticker,avg_weight_before,avg_weight_after,avg_weight_change,annualized_ticker_return,approx_active_contribution
AMD,0.12944642663006217,0.1680833150563621,0.03863688842629992,1.6619393842834524,0.06421216656183334
TXN,0.11367348664897739,0.13602699341069469,0.022353506761717296,1.57119044763722,0.035121616295204224
AMAT,0.11298127947201372,0.13257637288619242,0.0195950934141787,1.3406181383132618,0.026269537652990706
ISRG,0.04078958361821872,0.03326013759640501,-0.007529446021813706,-0.5982398775653559,0.004504414866224787
NFLX,0.04058849743785662,0.047514482280578606,0.0069259848427219856,0.16929746405149185,0.0011725516699319027
TSLA,0.0,0.0,0.0,-0.3568492745912054,-0.0
META,0.09091709716935749,0.10551704512217407,0.014599947952816578,-0.09564598900944817,-0.0013964264614336097
GOOGL,0.1330213537651151,0.12862340572398237,-0.004397948041132721,0.6728789869706029,-0.0029592868226667327
AMZN,0.12932509997091524,0.12258850241493917,-0.006736597555976068,0.5400987878247788,-0.003638428174046042
CSCO,0.13153208839093417,0.1258097455086716,-0.00572234288226256,0.6522527745658042,-0.003732414021972636
COST,0.07772508689654938,0.0,-0.07772508689654938,0.5581212779107172,-0.04338002482442368
