,return,sharpe,max_drawdown,volatility
FinRL-only,0.14200634301084647,1.9088234074282533,-0.13108910489725067,0.23035374663477282
FinRL + no-lookahead FinRobot,0.1891492985221841,2.3561917306765676,-0.13660772007413735,0.2412084695831041
SPY,0.054821863635011514,1.2376461143734092,-0.0888497257933103,0.14226950255544285
