Date,FinRL-only,FinRL + no-lookahead FinRobot,SPY
2026-01-05,1.0,1.0,1.0066601138160631
2026-01-06,0.9915338016282075,0.999453107867777,1.0126469061073022
2026-01-07,0.9877409588324337,0.996910411051965,1.0093827838243732
2026-01-08,0.9777024894432267,0.9829436962497065,1.0092802984831812
2026-01-09,0.9956280240322375,0.9999022088049292,1.0159550146686624
2026-01-12,1.0031411614362968,1.0079243697027886,1.0175505250940375
2026-01-13,1.012579494129294,1.0196786593559743,1.0155159581501467
2026-01-14,1.0084390369030558,1.0164042606013828,1.0105244561916376
2026-01-15,1.0172392948025624,1.0279198688893105,1.0132763309387838
2026-01-16,1.0241232857454348,1.0356098048161106,1.0124273330555003
2026-01-20,1.003569162064854,1.0167280505029754,0.9918175667758292
2026-01-21,1.0284956972257389,1.0416215628354073,1.0032642118680177
2026-01-22,1.0364633379443215,1.0451766157200417,1.0085044916171653
2026-01-23,1.0427923584574403,1.0528768021288073,1.0088703571184137
2026-01-26,1.0408034723376762,1.054997822739977,1.013993549156951
2026-01-27,1.051070710687562,1.0695787410397177,1.0180335678909846
2026-01-28,1.0651209774731285,1.08258435601766,1.0179310825497927
2026-01-29,1.0619666631303593,1.08444699358709,1.01591111797532
2026-01-30,1.0464296683667313,1.0605264199170243,1.0128810815285225
2026-02-02,1.0651065742009889,1.0822670269584327,1.0179164801803744
2026-02-03,1.0585927962442447,1.0730694089728277,1.0093095928071059
2026-02-04,1.0131539196958181,1.0235007341269287,1.0044205761897886
2026-02-05,1.0068889684225049,1.0178551182839748,0.9918761554236785
2026-02-06,1.0197902923835087,1.0273160615612182,1.0109050136473925
2026-02-09,1.0316415604577478,1.0400284616300475,1.0157794278952916
2026-02-10,1.0253539551053037,1.0328900505523055,1.0131006545803245
2026-02-11,1.0279954063540706,1.0346539021067878,1.0128665687441927
2026-02-12,0.9971594533093302,1.0027275602724488,0.9972189205140178
2026-02-13,1.010089450199159,1.0143463083047028,0.9979214467776782
2026-02-17,1.0062457855994265,1.0110595266313362,0.9995315595724714
2026-02-18,1.0101622621261614,1.0156701063659619,1.0045669582243235
2026-02-19,1.0094918419958259,1.0156270299393317,1.001917479233281
2026-02-20,1.020177288822776,1.0270250969101529,1.0091632107725714
2026-02-23,1.0053278013070428,1.0128367764350212,0.998858327632736
2026-02-24,1.019712168507679,1.0267606925941841,1.0061184823712677
2026-02-25,1.0311611074998506,1.0379111610305527,1.0146084612041029
2026-02-26,1.01326033591581,1.0203520273159377,1.0089728424596056
2026-02-27,1.0142915408405322,1.0216637522743255,1.0041278121207196
2026-03-02,1.0095964867693172,1.0165482214713946,1.00469873788944
2026-03-03,0.9914032935192348,0.9986896215070912,0.995842983140445
2026-03-04,1.0122629756992465,1.018914907289933,1.0028689624577565
2026-03-05,0.9998777913067316,1.0053764867489727,0.9972774195767788
2026-03-06,0.9773324221361814,0.9808000972252746,0.9842059697352907
2026-03-09,0.9884990193944561,0.9935349608850765,0.9928276386481543
2026-03-10,0.9911486202108098,0.9971225016010409,0.9912320386376907
2026-03-11,0.9949851629038949,0.9989699033414757,0.9899878809292342
2026-03-12,0.9739379368423667,0.977950501718989,0.9749549655760342
2026-03-13,0.96879152028079,0.973101477284088,0.9694366137123239
2026-03-16,0.9807648480605342,0.9858409524547066,0.9793024403336439
2026-03-17,0.9845890030767206,0.9894830782359718,0.9818785491372422
2026-03-18,0.9740165287457954,0.9795478349286854,0.9681777640493611
2026-03-19,0.9708807935664134,0.9796706213578446,0.9657918443885517
2026-03-20,0.9592059915277175,0.9695871960956388,0.9519464689679049
2026-03-23,0.9707477280397981,0.9796833582107474,0.9619419252122186
2026-03-24,0.9715336812725539,0.9807099202738793,0.9587128306988751
2026-03-25,0.9829490791944925,0.994647865896136,0.9640555062041261
2026-03-26,0.9536631873095115,0.9636353540461852,0.9468386855645816
2026-03-27,0.9350365925013756,0.9455775460053918,0.9306933025829534
2026-03-30,0.9254952219288914,0.9363031622519049,0.9275815645354853
2026-03-31,0.9589020072259751,0.9698791714987633,0.954544436533086
2026-04-01,0.973598484226965,0.9841876486842865,0.9617364170193037
2026-04-02,0.9722240457583993,0.9880963816730114,0.9626024360693936
2026-04-06,0.979079253412235,0.99864109058456,0.9671524627119988
2026-04-07,0.9807587897904292,1.0025150405734042,0.9675780814672462
2026-04-08,1.0155838697574675,1.0434516105290492,0.9922218642800246
2026-04-09,1.0322224678037675,1.0638742111206738,0.9979460826770034
2026-04-10,1.034363963461797,1.067251907795886,0.9972856614049166
2026-04-13,1.0388337700132313,1.0714002597844376,1.0070315335927957
2026-04-14,1.0614997202666907,1.0944803104298868,1.0193020927435004
2026-04-15,1.0731019871974983,1.0989313230971232,1.0273454003253013
2026-04-16,1.08357832012387,1.1145969289445092,1.0298699081179497
2026-04-17,1.0911584469555526,1.1194789021289449,1.0423165915525558
2026-04-20,1.0817711544616058,1.111162914831424,1.040232304884573
2026-04-21,1.0806169941364605,1.1134359779633445,1.0334219568751715
2026-04-22,1.1037814302846172,1.138734958744319,1.043887107738252
2026-04-23,1.116149750658076,1.1610011494382553,1.0398360700383384
2026-04-24,1.1405374760777367,1.1914648574741011,1.0478940695746461
2026-04-27,1.1267515269123967,1.1752804824812086,1.0496993882771817
2026-04-28,1.111026635707274,1.158048636857267,1.0445916048738586
2026-04-29,1.1182061679018767,1.1672717035741684,1.0444301725444636
2026-04-30,1.1420063430108465,1.189149298522184,1.0548218636350115
